commentText	importantComment
sir please upload computer organisation vupideos	1
i heard the whole lecture of  greibach  for 1 hr in our class but i understood it within less than 30 minutes hatsoff	0
These videos are really amazing they are very clear	0
Can u please provide lectures on microprocessor	1
very bad examples for a beginner	0
"a depandable resource,thank you"	0
The World still has good people in it....All thanks to you...Arigatou Gosaimus	0
I had watched Digital Logic Design series and it helped a lot. Which book should I follow with this tutorial?	0
World still has better people. Thank you so much Sir.	0
i do appreciate ..	0
Can someone explain why it's not possible to develop a machine that doesn't allow an infinite loop ?	0
Thanks for the lectures. Very helpful.	0
THANK YOU SO MUCH. I CLEARED TOC JUST BECAUSE OF YOU. AFTER NTH ATTEMPT. LOVE! 	0
thank u sir this is very useful............................	0
"Your lectures was excellent.... But lack of subjects u pls include All ece subjects like, ET, etc... It's my request sir...."	1
Thnq for the lectures which you have explained above... Each and every one is easy to understand jst cz of u as u made it easy. Plz upload a video for complexiti of time and space.	1
Thanks sir its really help me to understand this topic..thank ...can you please make analog and digital communication tutorial..it help me.	0
"thanks alot neso academy, i saw all your toc lectures, covered my whole syllabus and learned all concepts ,today was my final exam and it went very well thanks again"	0
Thank you Neal Academy for making this wonderful series. Really it wouldn't have been possible to pass the TOC exam without you. This quality of education is not even imparted in paid courses sometimes. Great job!!	0
you are the best..your videos are vary helpful....	0
Please Give Some More Lectures On Automata Theory...	1
"Sir Can U Please Give Some Lectures On ""Decidability"" The Topic After Turing Machine It Will Be So Helpful..."	1
why cant we design something which doesnt allow our code to go into infinite loops? I am still not clear	0
Why can't we design a machine that can't reject infinite loops?	0
Very nice video..and the background music at the end..which song is it?	0
"Hey, I would like to ask, whether you can share information about a book with the same material that you cover in your video?"	0
The best channel on Engineering courses in Youtube ....	0
Excellent way of teaching.. It was really helpful. Look for fresher jobs here - postngrow.com	0
"The strings that will be accepted by language L = {0^3^n+1 : n ‚â• 0}, if n = (0,1,2) how to solve above problem."	0
Very Informative Thank YOu Sir Thanks Neso Academy	0
Watched the whole series in 1.5 speed before exam. You explained everything clearly. Thanks bruh.	0
thank sir	0
Why we can't design a system in java that never goes into infinite loops? I don't understand your answer would u please explain it more thnx :)	0
Thank you so much for the useful tutorial :)	0
"at 6:50, please tell me why it is not possible to find out whether code is running an infinite loop?"	0
Much Thanks.	0
plz make video on FIFO AND its depth calculation	1
sir is there any error in lecture 44 please tell me sir Now i am confuse	0
you guys just are awesome	0
plz upload videos for compiler design	1
Thank you Very much sir	0
"A huge thanks to this Academy.  I will certainly thank you well in coming months. But till then, I am waiting for Turning Machines and Pushdown Automata"	1
Thankyou Sir:)	0
Plz upload videos related to Computer Architecture .	1
"Sir, please make a video on two way finite automata"	1
Sir can you please explain that how does it possible to to design a machine that accepts all valid java code and never goes into infinite loop? I mean if code is valid then it will never go to infinity and vice versa. Please explain. Thanks.	0
It would be extremely helpful if you could explain Microprocessor concepts making it easier to understand.  Thanks for the efforts.	1
"""We re-arranged the degree plan"" my school says...""Take Principles of Programming Languages before you take Theory of Computation"" my school says....""I think I should take them in the original order"" I said...""No, we changed the order"" my school says...""But the syllabus really makes it seems like the old order was better"" I said...""Trust us"" my school says...So... here I am... taking Principles of Programming Languages before taking Theory of Computation... where every single lesson says ""Think back to all that you learned in Theory of Computation. That should make this course very easy. If you don't understand something in this Principles of Programming Languages course, just review your notes from Theory of Computation ."".....................................................AAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHHHHHHHHHHHHH YOU SONS OF BBBBBBBBBBBBBBB WHYYYYYYYYYYYYY ARE YOU TRYING TO RUIN MY EDUCATION!!!!!!!!!!! Bottom line... Thank you so much for this tutorial series. You have given me an opportunity to not fail at life like my school is doing. Absolutely beautifully presented material. Thank you so so so much."	0
i m very thnkful to you. i m learning each topic of toc only  from your videos.	0
sir do u have tutorial on Turing machine if yes provide me link please	1
you gyyz are doing awesome ! i m very very thankful to u! plz make some more  videos on other subjects also. we are eagerly waiting for some new stuff!	0
have u edited your voice	0
plz upload the lecture of PDA and turing Machine	1
"please upload more videos , you have not covered pda ,turing machine  and lot more things"	1
sir can you please upload next vedios in automata theory	1
"55:08 entire!? does it mean that the length of the string must* be finite!? What about a system that can accept any string which starts with let's say a!? Then only scanning of the first alphabet of the string is sufficient to reach the final state, isn'"	0
sir post more video related to GNF in automata	1
"please make the more video lecture sir in automta,because we are  having exam and we jst pass in exam due to u..and in previous sem i passed LDEC through your lecture only and got 49 marks out of 60.awesome u are...a grand salute 2 u."	1
sir u are such an awesome teacher!! your way of teaching is mesmerizing! thanks a lot sir and respect too!! plz teach other subjects of computer science	0
plz upload videos on data structure	1
is this enough for finite automaton?	0
please upload the lectures of PDA and further topics like TURING MACHINE and all.	1
NESO is best...Sir when r u going to upload vid on PDA and CFG to PDA conversion and TURING machine	1
"in- finite... Don't say it like that Say in - fi - nit. at the end don't say night, say nit or knit. it helps with comprehension and differentiate infinite to finite."	0
Just one suggestion fast forward the writing time...	0
Happiness is Searching course on Automata Theory and then got course from Neso Academy. Thank you sir.	0
upload context free grammer and more on so!!	1
"hi, I have a question ? could you solve this questions for me ? Prove whether the following sets are countable or uncountable. a. The set of configurations of a finite automaton on all strings over all possible finite alphabets b. The set of configurations of all finite automata on all strings over all possible finite alphabets"	0
"Respected Sir, I follow all of your lectures. At 4:38 you say that ""The compiler compiles the program and runs it"" But compiler translates the program from high level language to low level language.It is the Operating System that executes(runs) the binary file(a.out in C). http://stackoverflow.com/questions/2377273/how-does-an-interpreter-compiler-work Correct me if I am wrong.Thank you."	0
sir please upload video on 'c' programming	1
sir can you please upload the video for CONTEXT FREE GRAMMAR (CFG) AND PUMPING LEMMA EXPRESSION	1
which subjects are available here? i could not find the tutorials of computer organisation and architecture.	1
are the videos sufficient for GATE?	0
sir i like ur lectures a lot.....i am presently persuing btech and ur academy helps me a lot to scpre good marks......i request u to upload some mpre lectures related to btech computer sciemce  stream that will enbance my knowledge amd help me in future.....thanking you.	1
sir plz upload lectures on c programming	1
sir please upload videos for microprocessor 8085 your all videos releted to dld and toc are awesome	1
"sir, i am fond of your lectures and i follow those lectures sincerely.... and they are really very useful...sir can you kindly teach us other chapters like pushdown automata ,turing machines and linear bounded automata...i mean the other chapters too..."	1
Neso Sir...........ki JAI hooo.......	0
why cannot third example is possible...how can we say particular task can be and cannot be?	0
Thanks for making subject easy.	0
sir plz answer	0
Please upload more videos of TOC...	1
are u teaching any other subjects for cse  2nd yr	0
"heartily thanks,sir if I have any doubt how can I communicate you sir"	0
Already uploaded this video	0
thanks sir!	0
Re-upload?	0
Thank you i followed you're DLD lectures they were awesome..so could you please inform me how many days TOC is going to complete..thanks.	0
"thanks sir, will you upload vedio on TOC daily"	1
"DC is a signal but it does not satisfy the purpose of a signal. A signal should contain some information and an information is something we don't know already but in case of DC, we know already that it won't change at any instant of time."	0
Thank u so much..it's a great work. I would like to watch ur videos in this semester too..these r very helpful for us.	0
False False True False True	0
I cannot find Fourier Series and Transform DT analysis?	0
sir may u upload video lecture on control system?	1
1) False 2) False 3) True 4) False 5) True	0
when the next lectures of the remaining topics will be available?	1
Your are doing an amazing job sir your videos on many topics are helping many students including me I'm very thankful and please do more videos on circuit theory or network analysis thank u sir	1
Sir I need all notes of your lecture. Where I got it?	0
I am very thankful to neso acedamy to provide this type of best tutorial. Thanks again for your great effort.	0
False False True True True	0
"Sir great lecture, Just by listening once we do not have to revise it again. But, It is showing there are 313 lectures int the play list, then why does it have only 200 lecture ?"	0
"sir please complete the z transform as soon as possible, you are just awesome,"	0
please do signal processing course as well	1
You tube can take 200 videos in group. videos from 201 to 313 is missing .	0
good concepts.....keep it up	0
Pls check 1. False 2. False 3. True 4. False 5. True	0
Nice Video	0
1- False 2- false i m in doubt about 3 and 4....plz give right ansr with right explaination.	0
1.false 2.false 3.true 4.false 5.true	0
"Sir we need filters topic , .... please give videos"	1
Excellent explanation - thank you	0
sir please upload all lectures upto random signal and system	1
Your videos are very helpful n good. Please make a playlist on microprocessor; analog system design;control system;digital communications;electrical machines	1
How can I answer post has answers true or false	0
which book is best for signal and system ??	0
"thank you sir,the lecture is short and useful ..and the lecture is more helpful for gate...."	0
can anybody tell me abt the status of signals & systems ? is it completed already or some topics r left ?	0
"In synthesis problem, pls explain me what is the need of finding system in application wise?"	0
Plz tell about causal and noncausal signal	1
"Sir, please solve some problems related to Discrete Time signals."	1
false false truefalse true	0
Thanks Sir it's really helpful	0
sir please upload the video how to use matlab please i am doing electrical engineering from pakistan so  i want your help thanks	1
"HELLO,when we are preparing for gate we have to prepare all the videos in this or not all are needed."	0
Really very helpful stuff on Signals and Systems.  Can u make videos on DSP stuff also...it will be greatly helpful who has completed learning Signals and Systems	1
No 4 is true or false	0
is there no video on z transform	1
In the example of overhead tank you said elecrictity is signal . And you already said dc is not signal what if current is dc  and it pump water than dc is signal ??	0
"Sir, please upload videos for Multivibrator and Convertor. We are just in awe of your teaching style. Please upload these to complete the digital electronics playlist."	1
Sir..plz upload ur lecture on control system...	1
Thanks alot sir your videos are best thanks alot i m studying from your videos	0
fluid mechanics pls..	1
Sir which software you using sir pls tell me Ö	0
Sir please upload RCC lectures also	1
"thank you so much, sir ..it is very helpful"	0
thanks a lot sir; best lectures ; have gone through all your videos	0
awesomely explained	0
Plz upload structural analysis lecture for gate...	1
Sir pls structure ke v vdo banaiye..pls sir	1
are you going to complete all chapters or its over?	0
sir what is yielding?	0
I have a doubt.05:59 you said Stress and strain is independent of size and shape whereas Stress is inversely dependent on area and Strain is inversely depend on original length?	0
sir my concepts are clear now with ur  videos bt lack of question in SOM is still a big problem. I still cant solve the gate questions frm som.	0
Sir ur best teacher	0
im unable to understand yr...sorry to say this	0
bhai aap kya teach kr rhr ho....looks like notes copy krke dikha rhe ho aap	0
Are all topics of SOM covered by the above lectures for gate? Please provide lectures for structure analysis.	1
"Thanks sir ...... I appreciate your effort.... You helped me to gain confidence to study for gate exam because i was in a dilemma that how to study this much , but you made it simple for me and please upload rest of the subjects also sir.... thank you so much sir"	1
Awesome sir.... Thanks a lot	0
Thanks :)	0
Very good video.	0
thanks for your explanation it really helps	0
Good video! Best one on youtube for KMP	0
This is the best video for KMP algorithm on YouTube. Thanks a lot sir..	0
"This is the best video on youtube for KMP-algorithm. Everyone explains something but I never really understood the systematic procedure, you've managed to explain it so simply. Thank you William!! Keep it up"	0
"Great explanation, thanks for the demo. Many people try to demo it, but almost all of them just miss the core part of it, which you have nailed. Again, great."	0
why is this algorithm hard to wrap ones head around	0
So once I implement the prefix table how do i actually implement the searching part?	0
Thanks..	0
This is the most informative video on youtube for KMP algorithm. I was in search of such a video.	0
Thank  you for the video :) It helped	0
Sir kindly share lectures on graph theory ... Resonance ....filters ......locus diagram .......magnetic circuits ....	1
Sir plz complete series as soon as possible.	0
network theoems please..................	1
sir plz upload network theorems ..........	1
Thank you sir for explaining all the concepts of network theory simply and briefly. I am learning a lot from your video and like everyone I would also kindly request you to complete the whole syllabus of network theory.	0
Is graph theory is removed from gate 2019 for Ece??	0
"sir, there is no transient analysis"	1
Very very very... thanks for it.Sir...	0
resume power system  course please	1
Thankyou sir	0
Sir plz upload ur lectr For 4th chptr is Theorem As soon as posible	1
Please upload remaining syllabus as early as possible GATE 2019 is on February	1
thank u sir for providing free lectures....kindly complete playlists of {power system} videos as soon as possible...	0
Thank u so much sir....well explainedè	0
upload the video about tv transmitter and reciever	1
Sir please upload all lectures of network theory	1
Sir ... here is no new vedios without these ... how to find daily 2 videos  . Please tell me sir?	0
Where ..i will find?	0
Sir when will you start the remaining part of network ? please tell me sir ..sir release the others part of network as soon as possible!.	1
Or give any video reference links that helps me to prepare well for the electromagnetic theory	1
Sir you promised me that u will upload electromagnetic theory videos.i was waited for several months but u don't uploaded any video on this topic. Sir I am requesting u to upload the videos as early as possible.waiting for u r reply sir	1
"Sir,please upload semiconductor videos "	1
"sir, im unable to access to next chapter please try to upload as soon as possible in network analsis or theory"	1
"sir i have one Q. - how to make it same size pendrive but it contain different datasize (like 4 GB, 8GB etc.) so how to space  size in  reduce , how to make this type of things please sir upload any videos or define please"	0
"Sir,this playlist only contains the topics under the basic part. From where I will get the topics from part 2 to part 10?"	0
network theorems sir are not in the playlist  network theory	1
Sir please upload vedios as fast as u could....nd complete the subjects	0
sir plz upload videos for control system....	1
Good plz Add Mesh and Nodal Analysis	1
Its very useful 4r us...Thank Uuuu so muchhh...n plzz complete d network theory syllabus as soon as possible...	1
Please upload machines and power system plz plz	1
sir will you please add more lectures related to power system and network theory	1
Sir I hope we will get all videos on all topics very soon...	0
plz sir have a look on the syllabus of upsc civil services exam for electrical engineering optional paper	0
I was waiting for this lecture series...	0
Create a separate folder for network theory	0
waiting for the entire series	0
please make lectures of complete circuit theory	1
"sir, you have not mentioned two port networks"	1
yes!at last	0
"Sir ,'l u make videos on computer syllabus of bsc computer subject."	1
are all lecture free ??	1
Bhai this video ko Hindi me bhejna	0
Very good lecture really really helpful. But For Real Time Systems a good example could have been satellites or Nuclear Power Plants rather than dropping a missile. :D	0
Handsome sir	0
best video	0
hi bro i need a advanced operating system material for m.tech	1
Where we get your material of Operating Systems?	1
sir as per my knowledge multi programming base is depends upon the i/o call because they are slow in nature  and multi tasking means multi programming along with the time bound..	0
"hi good morning sir , could pls upload your materials in googledrive"	0
it is a very good video. it has help me learn more. keep on.	0
Great teaching method ............salute to you :-)	0
Thanks sir..the videos are so helpful.. I understood each and every concept..thank you so much for making the videos	0
The two books name galvin and the other one cant understand	0
Operating system ki isme puri lectures h sir.??	1
super	0
Sir.... I am.... Tamil medium student.... How get the material..... I cannot understand more points..... So how easily understand points and how to get metirials	0
Sir can you provid the materials of all subjects of CS to me .My mail is evpr768@gmail.com	1
Sir i can't pay for your gate course can you teach me for free . I want to clear gate	1
Sir I want to understand full lecture of memory management & file management in Os Plese provide me sirÖ	1
thank u so much for the lectures you provide sir....even a nontechnical students can get d subjects through ur lectures....	0
"I will watch complete course,thank you"	0
Explain about most frequently used Page replacement algorithem	1
I can't get the difference between multiprogramming and multitasking. Plz help!!	1
what are the c  wrapper function ?? and where i can find the implemenation of  c library function like wher i can get the defination of the printf funtion ?	1
How can I get your materials	0
How do i get access to the notes material ?	0
"Really, the words just couldn't be expressed by saying WOW.Very Good."	0
Are these videos sufficient to learn OS in terms of campus placements?	0
"sir, how can i get your study materials?"	0
sir you and saurabh shukla sir are best in the world	0
thank you so much Sir for your clear explanation	0
Sir how can we get your materials?	0
Before me there was 999k view now 1 M ??	0
thanks sir	0
i like it thank much.	0
"Sir, explanation was super.but you should speed up class little much faster."	0
Sir plese come to our school EKBS mayiladuthurai .	0
Excellent work! I just don't understand why so many dislikes for an excellent job.	0
You have try  best .	0
Sir please can you upload msc computer science subject videos	1
Your pen is leaking	0
you made OS so simple...carry on good work..	0
"Hello sir I'm. Doing mca with distance mode, can i give gate exam"	0
its quite difficult to understand your words..coz u r using south english..still your videos help me a bit #a day before exam(xd)	0
"I'd call you ""brother"" coz u are the only one  caring my subject as much as I try to save my semster"	0
How can i get your material	0
How can I get complete course in operating system.	1
"please sir when you schedule Pre-emptive priority with processes contains CPU and IO time example, there was something not clear for me please help me."	0
"when you taught that example you have said that P1 takes for I/O from time 1 to 6 how can next process (p3) takes time 5 to 8 for I/O execution? because p1 ends its I/O execution at 6. please i am waiting for your response, thanks"""	0
Hey can I know whether the whole Operating system playlist is complete syllabus required for Placement Prep or is it just a part of the syllbus?	0
Wonderful Sir????????thank you sir for explaining??????????	0
may Almighty Allah give you reward for helping students	0
Just came here from Quora to revise OS cause I need it again at work and dont know how to concentrate on the lecture ....he is intimidating ....why did I never get a handsome(being decent) teacher in college :(	0
Sir add me group 9602203343	0
can anyone tell how can i get materials	0
Sir plz upload written notes for operating system...for mca 4th semester....??????	1
Close to 1M views.....	0
Sir make video on operating systems design issues plz	1
OH TY SIR I TAKE GOOD KNOWLEDGE your tutorial SO GOOD JESUS LORD BLEESED YOU	0
even the cameraman can qualify in all exams easily by listening to him while recording.	0
You made the bulk topic very much focused and up to the point! Thank you a lot.Heading to take your course in the near future	0
Hello! Soo all types of theory and sums will be there in videos?? Sorry for ask but i won't be able to check one by one video.. so if u help me and give my answer so i can easily learn theory for exam purpose	0
sir can u please make video on memory management plzz plzz	1
"Thank you sir, I cleared the gate 2018 exam by watching your videos. your videos were very helpful in my preparation."	0
is the topic which is covered here and topic which is covered in eclass which we get by paying ???????	0
Hindi nhin aati	0
Sir can you please explain batch operating system more clearly with any example	1
Sir  Hindi ma bhi video upload karo for os	1
Please make a video on a system call	1
What should i know before starting with OS ???	0
sir what the difference between OS system and Window plz reply fast	1
sir pronounciation  good but could you tell slowly sir	0
nice explanation .... Ravi... keep it up	0
You can talk in Hindi	0
Very helpful videos... Explained the topic with examples in very simple and understandable language..	0
Thank u men	0
Where to find ur notes and remaining lectures sir?	0
how can i get material	0
plz make videos for TS SET	1
how can i get your materials of os	0
ACT IT BOYS ;-)	0
How can i get your materials?	0
Sir please provide the link of the material you have mentioned in the video lecture........... Really a great help to students who are not from CSE background.....	0
"apart from these 34 videos , how many videos are available in your GATE "	0
can anyone help me with the material link?	0
"sir thank you for sharing such useful knowledge, i appreciate your effort put through it"	0
I really like this video. good job	0
Nice explaination	0
"Please , give a pause to make us understand your words.."	0
Sir you are the great	0
How I can get ur material sir??	0
"Thank you sir ??????, and ,can u please explain about overall deadlock algorithm and detection ,avoiding ?"	1
"dear sir,,,,,first i should tell thank u so much ... because i read a reference book written by dhamdhare(author name) but i dont understand those concepts,,,but u met that sir tnq so much,,,keep uploading  for us tnq......"	0
How can i get your material?	0
"Sir how can I get your material, I am watching your vedios and I want to revise so please provide me a link"	0
how can i get your matrials sir?	0
Thank a lot  sir !	0
good video...i liked it...  keep it up bro	0
what about silbershats	1
"really good, if we dont understand the basics we fail to understand everything this was really helpful.. tysm and GL for your channel :)"	0
How can i get your notes???	0
how can i get your materials?	0
please can you send the soft copy of metrial  to vangarajesh5@gmail.com	0
Excellent teaching	0
Sir kya aap hindi m pda skte h plz ??	0
I hope somebody would make a subtitle for this. Seems like a very informative video.	0
hindi me bhi explanation kare	0
Thankuuuuuu sir??????	0
"Very good effort sir, can u send these vedio lect written notes through mail"	0
Plz ap urdu main lecters  dy dya kary. Smjny bht asai hogi.	0
"sir can u please clarify my one doubt:that is in case of multiprogramming the cpu will go to next job when input time is being processed right.so,when cpu goes to next job will the cpu wil be totally in that job untill it finishes that job or just move on to next job as before?"	0
Sir I like ur teaching it's very easy to understand but where did I get the materials from?u said that u had materials at the beginning..	0
"ravi sir plz provide video lecture on the topic process synchronization, memory management, thread plz"	1
"Good lecture, keep it up"	0
Bankers algorithm	1
Can anyone please post the link to his study material for OS?	0
sir how to get study material?	0
Very nice lecture	0
Useful.........video	0
thank you Sir ...tomorrow is my exam and your videos are like heaven for me	0
i like Ravindraubavula's every lecture. really he teach step by step slowly & clearly. like it	0
Sir make the video for banker's algorithm	1
Sir for scientific assistant which book is best or ur lectures r enough to crack it plz reply sir	1
Because of u I done problem in my mid sir	0
How can i get your Materials?	0
please maintain the echo of the sound	0
"Rakish, is that you?"	0
where can i get the study material your talking about? Really wonderful lectures :)	0
Rabindrababu you are doing good job... I learn compilers from your lecturers	0
Thanx a lot sir your lectures. They are really the best lectures I have seen till now for os.	0
"Plz...sir 1 kind request say how to learn prgms in any pl.its difficult to learn prgms,plz sir help me out...i vil b thankful to u sir...as im btech 3rd year wright now so i donno to implement any prgm plz make 1 video sir to learn prgms."	1
Sir where can i get material for this topic from you	0
i love you.........................	0
sir please provide your contact no.	0
"nice explanation,yeah how can we get ur material"	0
"Hi sir,First of all thanks to made such a good videos ... but one small suggestion while talking give some gap .. stop and talk .. stop and talk.. den only beginners will understand like me..and repeat the imp  points one more time ...i hope u dont mind for my suggestions.."	0
your is very helpfull!!!	0
what is the good book???	0
hey your voice is not clearly audible	0
"sir , where is your material please provide me the link"	0
Ur teaching style is awesome sir I need Ur complete c program videos Plz upload it.	1
how can i get your materials?	0
"most of the things are same as nptel lectures but they aren't interesting as ravindrababu's lecture, he has the charm of his own :)"	0
it  is good	0
"Thank you Sir, your videos help me a lot. Keep up the good work.0"	0
superb.	0
very simply and logically learn it....thanks	0
Can anyone tell you the book name he mentioned? i didn't get it!Thank you very much	0
really awesome sir ...Thanku so much for your videos...i clearly understood and learned alot from your teaching...please dont stop tiz...keep on going...	0
please provide material	0
please give me your whats app no i want to ask something	0
Good explaining sir  but  your voice is not correct  some intreput...sir	0
"sir,how can i get materials"	0
Can i refer these videos for my rgpv engineering exam or are they  exclusively for gate  ???	0
awesome explaination sir thanks for u r videos .provide the link for the materials  of os . please sir	0
Sir please speak louder and clear. Many times it seems you are speaking to yourself and not clear at all. Thank you	0
how do I get it notes	0
Dhamdhere is quite good and simplified	0
sir voice is not clear	0
best lecture i have ever seen!!!	0
How can I get your material sir.Hope I would find some way.	0
really nice video sir????can you just explain what is starvation??	1
"multiprocessor are definitely ""foster"" as he says :P"	0
voice is not too much clear	0
can you please make a class for deadlock?	1
Great work sir	0
"It's very easy and useful video,, I learned well about operating System,,It will help me for sure..Thank you sir"	0
tysm dude for this video...keep it up...i like ur videos...and i understand lots of  things from ur videos...again tysm	0
Please make videos on Water Hammer	1
We need videos on Advanced Control systems sir	1
"Sir, Can you please make videos on Electromagnetic Theory"	1
Sir you said expanded opcode(Concept in domain of addressing modes). I think you cannot say it that. Any source where it is mentioned?	0
"1. when i commented the #include<stdio.h> part, it still showed Neso academy. 2. when i removed the semicolon, it showed error. 3. when i removed int from main, it still showed Neso Academy. 4. return 100; yields the same result just as return 0; 5. return a; shows error. but return 'a'; shows Neso academy. 6. removal of ; after return showed error message. thank you."	0
after commenting out stdio.h  the code is still running.why?	0
Sir app lecture bhut late upload karte ho	0
thank you so much ....I have request please put the English†translation I cant understand all your speaking	0
It would be great to have Eng subtitle. Im truly Thank you for your hard work sir.	0
sir pls take lectures on java	1
add/keep subtitles	0
great lecture sir! thank you :)	0
"hey please make videos of array pointer,structure,series,union etc.."	1
sir please upload tutorial for data structure	1
Sir pls make lectures on data structure for cse according for gate preparation I'm a student of cse branch 2nd year	1
What's the difference between source code and actual definition of a function	0
please make videos on c++ and java	1
sir make video on c++ please	1
Will you sir make videos on microprocessor?	1
Sir your lecture is very helpful. Please make video c++ programming.	1
How printf() works  without including header file??	0
Thank you sir and your team for starting course on programming C. your videos are awasome because your way of teaching is so nice and you discuss all the difficult topics very nicely.	0
I removed integer zero and clicked on build and run. Code compiled successfully and it returned 7. Why? Can you please help me?	0
Thanks a Lot sir .And for providing the link for download this software	0
"I am a beginner, and I was wondering if I could use a Visual studio 2017 c++, instead of Code Blocks? Sorry if it's stupid question! Thanks!"	0
"sir,you told that main() is a predefined functuion but , in my book it is said that that main() is userdefined function...."	0
A revolution without dancing is a revolution not worth having.	0
Very useful sir. Your way of teaching is very effective Thanks a lot.	0
Would it be possible to slow down the speed of your speech a little bit? We have the option of 1.25x when needed. Now if i set the video to 1.25x it is impossible to understand anything at all.	0
I like the way you are delivering the lecture. Thank you sir	0
YES! I've been wanting to learn C for some time now and with Neso I know it's quality content.	0
Needed somewhat slow explaination. Such that we can hear each word And get understood.like other lecture's in DE etc. Thank you	0
Sir nice ....please uploard lectures frequently	0
Can you please add English subtitles in the future? I find it hard to understand you at times.	0
Tqq u so much I am regular user of neso Plss try to upload python programming language If you have any  personal WhatsApp grp Plss add me 9912372303	1
wow really very effective way of teaching .....thanks sir	0
Amazing..initiative sir! Thanks a lot	0
Great initiative... Thanks for this... Eagerly waiting for your coming tutorial video on data structures and c programming...	1
sir your video quality are excellent so many students are preparing for gate ies by referring your lectures awesome teaching skills sir	0
Will you guy's start doing videos about electro magnetic theory or network theory	1
really helping..thanks sir for providing us free study materials	0
thanks sir 	0
